AppID,Name,Release_Date,Primary_Genre,All_Tags,Price_USD,Discount_Pct,Review_Score_Pct,Total_Reviews,Steam_Deck_Status,Estimated_Owners,24h_Peak_Players
1961460,PROJECT: PLAYTIME,12/12/2022,Action,Multiplayer;Horror;Survival Horror;Online Co-Op;Puzzle;Team-Based;Romance;3D;Free to Play;First-Person,0,0,83,0,Unknown,0,0
1941540,Mafia: The Old Country,8/7/2025,Action,Story Rich;Stealth;Atmospheric;Third-Person Shooter;Action;Cinematic;Immersive;Crime;Third Person;Shooter,49.99,0,64,18247,Unknown,547410,0
1887840,Another Crab's Treasure,4/25/2024,Action,Souls-like;3D Platformer;Funny;Action RPG;Cartoony;Action-Adventure;Atmospheric;Third Person;Nonlinear;Dark Humor,17.99,40,90,15803,Unknown,474090,147
2886620,Hive Blight,3/9/2026,RPG,Early Access;Auto Battler;Strategy;Roguelike;Turn-Based Tactics;Roguelite;Deckbuilding;Tactical RPG;Party-Based RPG;Tactical,9.99,20,95,0,Unknown,0,0
2904000,The Spell Brigade,9/16/2024,Action,Action Roguelike;Online Co-Op;Bullet Hell;Roguelite;Co-op;Roguelike;Multiplayer;Magic;Action;Top-Down Shooter,9.99,0,85,11502,Unknown,345060,3580
933110,Age of Empires III: Definitive Edition,10/15/2020,Strategy,Strategy;Base Building;RTS;Multiplayer;Military;City Builder;Historical;War;Free to Play;Singleplayer,0,0,89,36135,Unknown,1084050,3016
400,Portal,10/10/2007,Action,Puzzle;Puzzle Platformer;First-Person;3D Platformer;Singleplayer;Sci-fi;Comedy;Female Protagonist;Physics;Funny,9.99,0,98,166415,Unknown,4992450,638
2172010,Until Dawn™,10/4/2024,Adventure,Choices Matter;Horror;Adventure;Multiple Endings;Choose Your Own Adventure;Singleplayer;Exploration;Interactive Fiction;Atmospheric;Story Rich,59.99,0,88,3049,Unknown,91470,85
393080,Call of Duty®: Modern Warfare® Remastered (2017),7/27/2017,Action,FPS;Singleplayer;Multiplayer;Shooter;Action;War;Military;First-Person;Controller;Violent,39.99,0,75,12533,Unknown,375990,133
3716600,Mage Arena,7/24/2025,Action,Early Access;Magic;PvP;Dark Fantasy;Action;Medieval;First-Person;Casual;Combat;Action RPG,2.69,10,80,17343,Unknown,520290,0
3525970,Horripilant,2/20/2026,Casual,Idler;Clicker;Casual;Pixel Graphics;Horror;Puzzle;Resource Management;Dungeon Crawler;Simulation;PvE,7.99,0,92,1338,Unknown,40140,0
1286990,CONSCRIPT: Director’s Cut,7/23/2024,Action,Survival Horror;World War I;Horror;Pixel Graphics;Atmospheric;Isometric;Top-Down;Inventory Management;Psychological Horror;Historical,6.79,66,86,1725,Unknown,51750,15
1049590,Eternal Return,7/19/2023,Indie,Free to Play;MOBA;Anime;Sexual Content;PvP;eSports;Survival;Multiplayer;Top-Down;Action,0,0,67,107,Unknown,3210,12341
803330,Destroy All Humans!,7/28/2020,Action,Action;Adventure;Villain Protagonist;Aliens;Open World;Remake;Singleplayer;Funny;Sci-fi;Comedy,5.99,80,88,8768,Unknown,263040,22
1450900,Desynced,3/5/2026,Simulation,Strategy;Automation;Base Building;Programming;Sandbox;City Builder;RTS;Sci-fi;Simulation;Multiplayer,17.99,40,71,1563,Unknown,46890,75
3179050,Piece by Piece,3/11/2026,Casual,Cozy;Shop Keeper;Simulation;Puzzle;Nature;3D;Cute;Relaxing;Controller;Stylized,9.59,20,94,0,Unknown,0,0
1295500,"Warhammer 40,000: Battlesector",7/22/2021,Strategy,Strategy;Warhammer 40K;Turn-Based Tactics;Turn-Based Strategy;3D;Isometric;Tactical;Sci-fi;Turn-Based Combat;Singleplayer,39.99,0,88,4786,Unknown,143580,378
2054970,Dragon's Dogma 2,3/21/2024,Action,Open World;RPG;Action RPG;Fantasy;Singleplayer;Action;Adventure;Dragons;Character Customization;Magic,69.99,0,68,73855,Unknown,2215650,768
867210,Songs of Conquest,5/20/2024,Adventure,Local Multiplayer;Turn-Based Tactics;Tactical;4X;Turn-Based Strategy;Turn-Based Combat;Fantasy;Strategy RPG;Pixel Graphics;Strategy,7.49,75,74,11719,Unknown,351570,121
1954420,Riichi City × Date A LiveⅤ,9/8/2022,Unknown,Sexual Content;Casual;Mahjong;Anime;Thriller;Card Game;Cute;Horror;Strategy;Modern,0,0,35,0,Unknown,0,406
288470,Fable Anniversary,9/12/2014,RPG,RPG;Open World;Fantasy;Singleplayer;Adventure;Classic;Choices Matter;Remake;Action RPG;Atmospheric,34.99,0,89,13992,Unknown,419760,115
2660460,Aviassembly,4/11/2025,Simulation,Early Access;Flight;Building;Physics;Sandbox;Transportation;Exploration;Crafting;Open World;Jet,9.99,0,97,7982,Unknown,239460,498
1978590,Anger Foot,7/11/2024,Action,FPS;Fast-Paced;Boomer Shooter;Arcade;Action;Violent;Shooter;First-Person;Gore;Singleplayer,7.99,60,88,3233,Unknown,96990,25
2131630,METAL GEAR SOLID - Master Collection Version,10/24/2023,Action,Action;Stealth;Adventure;Action-Adventure;Story Rich;Cinematic;Third-Person Shooter;3D;Military;Exploration,19.99,0,89,3356,Unknown,100680,63
2131640,METAL GEAR SOLID 2: Sons of Liberty - Master Collection Version,10/24/2023,Action,Action;Stealth;Action-Adventure;Adventure;Story Rich;Third-Person Shooter;Cinematic;Exploration;3D;Third Person,19.99,0,93,2642,Unknown,79260,39
2131650,METAL GEAR SOLID 3: Snake Eater - Master Collection Version,10/24/2023,Action,Action;Stealth;Action-Adventure;Third-Person Shooter;Adventure;Cinematic;Exploration;Third Person;3D;Survival,19.99,0,93,4825,Unknown,144750,114
2306740,METAL GEAR SOLID: MASTER COLLECTION Vol.1 BONUS CONTENT,10/24/2023,Action,Action;Adventure;Action-Adventure;2D Platformer;Exploration;Top-Down Shooter;2D;Cinematic;Top-Down;1990's,59.99,0,61,118,Unknown,3540,0
2997230,Planet of Lana II,3/5/2026,Action,Adventure;Puzzle Platformer;Casual;Cute;Cozy;Emotional;Cinematic;Story Rich;Anime;Platformer,17.99,10,92,283,Unknown,8490,0
8870,BioShock Infinite,3/25/2013,Action,Action;Shooter;First-Person;FPS;RPG;Singleplayer;Fantasy;Adventure;Story Rich;Sci-fi,29.99,0,88,108154,Unknown,3244620,301
3373660,Look Outside,3/21/2025,Adventure,RPG;Survival Horror;Horror;Pixel Graphics;Lovecraftian;Turn-Based Combat;Adventure;RPGMaker;2D;Atmospheric,9.99,0,98,10415,Unknown,312450,346
2861590,Machine Mind,3/5/2026,Action,Base Building;Tower Defense;Survival;Crafting;Strategy;Resource Management;Building;Action RPG;Exploration;Adventure,17.99,10,71,285,Unknown,8550,0
389730,TEKKEN 7,6/1/2017,Action,Fighting;Action;Multiplayer;Competitive;Arcade;Local Multiplayer;Controller;3D Fighter;Singleplayer;Great Soundtrack,9.99,75,89,67077,Unknown,2012310,599
774361,Blasphemous,9/10/2019,Action,Metroidvania;Souls-like;Pixel Graphics;Dark Fantasy;Gore;2D;Violent;Indie;Difficult;Action,2.49,90,91,49753,Unknown,1492590,479
2080690,Sunkenland,8/25/2023,Action,Early Access;Open World Survival Craft;Co-op;Survival;Underwater;Multiplayer;Base Building;Crafting;Open World;Exploration,19.99,0,71,19672,Unknown,590160,472
39150,FINAL FANTASY VIII,12/5/2013,RPG,,4.79,60,0,7730,Unknown,231900,99
704850,Thief Simulator,11/9/2018,Action,Simulation;Stealth;Singleplayer;Crime;First-Person;Co-op;Open World;Adventure;Heist;Action,1.99,90,87,36184,Unknown,1085520,243
1609230,Scarlet Hollow,6/11/2021,Adventure,Early Access;Choices Matter;Visual Novel;Horror;Psychological Horror;Story Rich;Dating Sim;Multiple Endings;Well-Written;Interactive Fiction,24.99,0,98,3953,Unknown,118590,38
2198510,New Cycle,1/18/2024,Indie,City Builder;Strategy;Survival;Building;Colony Sim;Post-apocalyptic;Realistic;Simulation;Base Building;Top-Down,14.99,50,74,2491,Unknown,74730,47
814000,ONE PIECE ODYSSEY,1/12/2023,Action,Open World;Anime;JRPG;Turn-Based Combat;Story Rich;Party-Based RPG;Comedy;Pirates;RPG;Team-Based,23.99,60,61,2395,Unknown,71850,22
2069310,RealFlight Evolution,10/27/2022,Indie,Simulation;Flight;Realistic;Physics;3D;Singleplayer;Multiplayer;VR;Local Multiplayer;Racing,69.99,0,86,813,Unknown,24390,514
1202200,Paleo Pines,9/26/2023,Adventure,Dinosaurs;Farming Sim;Exploration;Relaxing;Indie;Casual;Simulation;Cute;Singleplayer;Colorful,7.49,75,93,1921,Unknown,57630,50
2753970,MARVEL Cosmic Invasion,12/1/2025,Action,Beat 'em up;Arcade;Pixel Graphics;Superhero;Co-op;Side Scroller;Retro;Action-Adventure;Action;Comic Book,29.99,0,90,1630,Unknown,48900,0
1239080,Door Kickers 2: Task Force North,2/10/2025,Action,Tactical;Top-Down;Real Time Tactics;Real-Time with Pause;Military;Action;Moddable;Strategy;Indie;Co-op,24.99,0,96,11539,Unknown,346170,505
1302240,Labyrinthine,8/18/2023,Action,Horror;Online Co-Op;Co-op;Puzzle;Psychological Horror;Multiplayer;Procedural Generation;Supernatural;First-Person;Controller,9.99,0,70,13549,Unknown,406470,179
917950,Vellum,5/2/2025,Action,Online Co-Op;Action Roguelike;Third-Person Shooter;Fantasy;Magic;3D;Roguelite;Action;Roguelike;Multiplayer,11.99,40,90,1188,Unknown,35640,141
